Aviary,Group,Species,Section,"Raw material",Target,"Actual type"
Aruvi,Amazon,"Blue Fronted Amazon"
Aruvi,Amazon,"Cuban Amazon"
Aruvi,Amazon,"Double Yellow Headed Amazon"
Aruvi,Amazon,"Red Lored Amazon"
Aruvi,Amazon,"Red Lory "
Aruvi,Cockatoo,"Major Mitchell's Cockatoo"
Aruvi,Parrot,"Timney Grey Parrot"
Aruvi,Parrot,"Grey Parrot"
Aruvi,Parrot,Jardin
Sales,Amazon,"Red Lored Amazon"
Sales,Cockatoo,"Triton Cockatoo"
Sales,Conure,"Nansun Conure"
Sales,Lorikeet,"Red Collared Lorikeet"
Sales,Lorikeet,"Swainson's Lorikeet "
,Amazon,"Cuban Amazon"
Garden,Conure,"Janday conure "
Garden,Conure,"Sun Conure "
Garden,Lorikeet,"Green Napped Lorikeet"
Garden,Lorikeet,"Red Collared Lorikeet"
Garden,Lorikeet,"Scaly Breasted Lorikeet"
Garden,Lorikeet,"Swainson's Lorikeet "
Garden,Lorikeet,"Swainson's Lorikeet (Olive)"
Garden,Lory,"Red Lory "
Garden,Lory,"Yellow Bibbed Lory"
"Lory cage",Amazon,"Cuban Amazon"
"Lory cage",Conure,"Crimson bellied conure"
"Lory cage",Conure,"Janday conure "
"Lory cage",Lorikeet,"Green Napped Lorikeet"
"Lory cage",Lorikeet,"Red Collared Lorikeet"
"Lory cage",Lorikeet,"Swainson's Lorikeet "
"Lory cage",Lorikeet,"Swainson's Lorikeet (Olive)"
"Lory cage",Lorikeet,"Red collar lory (Olive)"
"Lory cage",Lory,"Black capped Lory"
"Lory cage",Lory,"Chattering Lory"
"Lory cage",Lory,"Red Lory "
"Lory cage",Lory,"Yellow Bibbed Lory"
Solai,Cockatoo,"Major Mitchells Cockatoo"
Solai,Cockatoo,"Medium Sulphur Cockatoo"
Solai,Cockatoo,"Mollucan Cockatoo"
Solai,Macaw,"Blue and Gold Macaw"
Solai,Macaw,"Green Wing Macaw"
Solai,Macaw,"Scarlet Macaw"
Thenral,Macaw,"Blue and Gold Macaw"
Thenral,Macaw,"Green Wing Macaw"
Thenral,Macaw,"Scarlet Macaw"
Vasantham,Amazon,"Blue Fronted Amazon"
Vasantham,Cockatoo,"Major Mitchell's Cockatoo"
Vasantham,Cockatoo,"Goffin Cockatoo"
Vasantham,Cockatoo,"Medium Sulphur Cockatoo"
Vasantham,Cockatoo,"Mollucan Cockatoo"
Vasantham,Cockatoo,"Triton Cockatoo"
Vasantham,Cockatoo,"Umbrella Cockatoo"
Weaning,Lorikeet,"Green Napped Lorikeet"
Weaning,Lorikeet,"Swainson's Lorikeet "
Weaning,Lorikeet,"Red collar lory (Olive)"
Weaning,Lory,"Red Lory "
Weaning,Lory,"Yellow Bibbed Lory"
