Particulars,Type
Tissue paper,Cleaning material
Garbage Bags- Medium,Cleaning material
Garbage Bags- Large,Cleaning material
Bleaching powder,Cleaning material
Scrub,Cleaning material
Prill,Cleaning material
Gloves- Small,Cleaning material
Gloves- Large,Cleaning material
Dettol hand wash,Cleaning material
LYZOL,Cleaning material
A18 ,Feed
SOYA BEANS,Feed
GREEN PEAS,Feed
Olive oil ,Feed
Almond,Nuts
Macadamia,Nuts
Wall nuts,Nuts
Brazil Nut,Nuts
Hazzel Nut,Nuts
Cashew,Nuts
Fig- Dried,Nuts
Pista,Nuts
Chana - Black,Sprouts
Chana- White,Sprouts
Green Gram,Sprouts
Sunflower seeds(Stripped),Sprouts
Vimeral,Supplements
Groviplex,Supplements
Rex,Supplements
Groblend,Supplements
PRIOVIBOOST,Supplements
PROBIOTIC,Supplements
IMMUNOL,Supplements
PROFOOD ,Supplements
EGG POWDER,Supplements
PEA POWDER,Supplements
Flower Bluebarry,Supplements
Flower vennila,Supplements
Soya Protein isolate,Supplements
OSTAVET,Supplements
RL,Surgical items
DNS,Surgical items
NS,Surgical items
D5,Surgical items
D25,Surgical items
MVS,Surgical items
RUBBER CATHETER 4INCH,Surgical items
RUBBER CATHETER 6INCH,Surgical items
RUBBER CATHETER 5INCH,Surgical items
RUBBER CATHETER 3INCH,Surgical items
Syringe- 1ml,Surgical items
Syringe- 3ml,Surgical items
Syringe- 5 ml,Surgical items
Syringe- 12ml,Surgical items
Syringe- 20ml,Surgical items
Syringe- 2.5ml,Surgical items
Syringe- 2ml,Surgical items
NEEDLE,Surgical items
ELECTROL,Surgical items
